E2E:33417 Classify:25060 Shuffle:61 Extract:678 Split:2515 E2E:33417
E2E:26181 Classify:17523 Shuffle:53 Extract:306 Split:2913 E2E:26181
E2E:27541 Classify:19001 Shuffle:55 Extract:342 Split:2422 E2E:27541
E2E:25941 Classify:17585 Shuffle:47 Extract:372 Split:2666 E2E:25941
E2E:26082 Classify:17613 Shuffle:42 Extract:300 Split:2707 E2E:26082
E2E:26126 Classify:17944 Shuffle:50 Extract:339 Split:2415 E2E:26126
E2E:25096 Classify:17018 Shuffle:73 Extract:424 Split:2621 E2E:25096
E2E:25241 Classify:16962 Shuffle:44 Extract:290 Split:2529 E2E:25241
E2E:26158 Classify:17810 Shuffle:43 Extract:294 Split:2585 E2E:26158
E2E:25920 Classify:17617 Shuffle:38 Extract:302 Split:2556 E2E:25920
E2E:26076 Classify:17724 Shuffle:56 Extract:325 Split:2457 E2E:26076
E2E:23836 Classify:16817 Shuffle:37 Extract:307 Split:2367 E2E:23836
E2E:26026 Classify:17889 Shuffle:38 Extract:325 Split:2393 E2E:26026
E2E:24984 Classify:17418 Shuffle:49 Extract:1218 Split:2430 E2E:24984
E2E:26061 Classify:17697 Shuffle:48 Extract:317 Split:2517 E2E:26061
E2E:23535 Classify:16773 Shuffle:47 Extract:330 Split:2803 E2E:23535
E2E:24437 Classify:16248 Shuffle:45 Extract:295 Split:2625 E2E:24437
E2E:25145 Classify:16902 Shuffle:58 Extract:350 Split:2682 E2E:25145
E2E:24204 Classify:17474 Shuffle:55 Extract:299 Split:2447 E2E:24204
E2E:22911 Classify:16071 Shuffle:51 Extract:293 Split:2425 E2E:22911
E2E:23852 Classify:17574 Shuffle:50 Extract:452 Split:2586 E2E:23852
E2E:23374 Classify:16390 Shuffle:44 Extract:304 Split:2567 E2E:23374
E2E:26305 Classify:18053 Shuffle:47 Extract:527 Split:2465 E2E:26305
E2E:25171 Classify:17073 Shuffle:44 Extract:266 Split:2475 E2E:25171
E2E:23376 Classify:16087 Shuffle:48 Extract:473 Split:2665 E2E:23376
E2E:23295 Classify:16024 Shuffle:52 Extract:319 Split:2707 E2E:23295
E2E:25135 Classify:16843 Shuffle:45 Extract:285 Split:2511 E2E:25135
E2E:23396 Classify:17372 Shuffle:42 Extract:288 Split:2488 E2E:23396
E2E:23779 Classify:16433 Shuffle:45 Extract:354 Split:2636 E2E:23779
E2E:24938 Classify:17006 Shuffle:49 Extract:386 Split:2721 E2E:24938
E2E:26067 Classify:17867 Shuffle:50 Extract:282 Split:2410 E2E:26067
E2E:24910 Classify:16738 Shuffle:49 Extract:430 Split:2376 E2E:24910
E2E:23038 Classify:15969 Shuffle:47 Extract:319 Split:2610 E2E:23038
E2E:26714 Classify:18372 Shuffle:45 Extract:309 Split:2518 E2E:26714
E2E:22940 Classify:16338 Shuffle:45 Extract:356 Split:2412 E2E:22940
E2E:25275 Classify:17149 Shuffle:44 Extract:297 Split:2329 E2E:25275
E2E:31162 Classify:22861 Shuffle:45 Extract:334 Split:2537 E2E:31162
E2E:24843 Classify:16642 Shuffle:55 Extract:434 Split:2376 E2E:24843
E2E:22900 Classify:17081 Shuffle:133 Extract:798 Split:2245 E2E:22900
E2E:22497 Classify:16630 Shuffle:45 Extract:840 Split:2408 E2E:22497
E2E:24807 Classify:16555 Shuffle:39 Extract:408 Split:2503 E2E:24807
E2E:25237 Classify:17186 Shuffle:128 Extract:325 Split:2261 E2E:25237
E2E:12701 Classify:6072 Shuffle:44 Extract:398 Split:1502 E2E:12701
E2E:33617 Classify:23862 Shuffle:279 Extract:1767 Split:4277 E2E:33617
E2E:25571 Classify:17602 Shuffle:41 Extract:272 Split:2255 E2E:25571
E2E:25374 Classify:17306 Shuffle:50 Extract:305 Split:2393 E2E:25374
E2E:25129 Classify:17194 Shuffle:49 Extract:318 Split:2219 E2E:25129
E2E:25689 Classify:17342 Shuffle:58 Extract:313 Split:2592 E2E:25689
E2E:25313 Classify:17291 Shuffle:114 Extract:325 Split:2306 E2E:25313
E2E:25041 Classify:17139 Shuffle:49 Extract:296 Split:2126 E2E:25041
E2E:25235 Classify:17167 Shuffle:54 Extract:398 Split:2248 E2E:25235
E2E:25283 Classify:17122 Shuffle:42 Extract:294 Split:2424 E2E:25283
E2E:25438 Classify:17216 Shuffle:55 Extract:281 Split:2470 E2E:25438
E2E:25386 Classify:17202 Shuffle:66 Extract:271 Split:2435 E2E:25386
E2E:25337 Classify:17566 Shuffle:48 Extract:258 Split:2167 E2E:25337
E2E:25527 Classify:17320 Shuffle:46 Extract:280 Split:2409 E2E:25527
E2E:25941 Classify:17700 Shuffle:51 Extract:291 Split:2422 E2E:25941
E2E:25984 Classify:17540 Shuffle:72 Extract:354 Split:2624 E2E:25984
E2E:27117 Classify:18774 Shuffle:51 Extract:318 Split:2523 E2E:27117
E2E:25563 Classify:17409 Shuffle:51 Extract:311 Split:2393 E2E:25563
E2E:26265 Classify:17979 Shuffle:48 Extract:341 Split:2530 E2E:26265
E2E:25538 Classify:17344 Shuffle:44 Extract:337 Split:2436 E2E:25538
E2E:26404 Classify:17693 Shuffle:54 Extract:603 Split:2536 E2E:26404
E2E:25790 Classify:17506 Shuffle:46 Extract:287 Split:2438 E2E:25790
